stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
0004,0004,"Meylan, Revirée - Sayettes",45.2122,5.76728,,,REVIREES,2
0006,0006,"La Tronche, Commandant Nal",45.20323,5.74535,,,COMMANAL,1
0007,0007,"La Tronche, Musée Hébert",45.20564,5.74888,,,MUSHEBER,1
0008,0008,"La Tronche, Centre Théologique",45.20617,5.75214,,,CENTHEOL,1
0011,0011,"Meylan, Malacher",45.21128,5.78724,,,MALACHER,1
0012,0012,"La Tronche, La Carronnerie Basse",45.20094,5.75814,,,CARONBAS,1
0015,0015,"Meylan, Granier",45.21024,5.78405,,,GRANIER,1
0016,0016,"Meylan, Meylan Mairie",45.20941,5.77926,,,MEYLMAIR,1
0017,0017,"Meylan, Piscine des Buclos",45.20883,5.77503,,,PISBUCLO,1
0018,0018,"Meylan, Le Brêt",45.20598,5.77184,,,LEBRET,1
0019,0019,"Meylan, Le Brêt",45.2059,5.77174,,,LEBRET,1
0020,0020,"Saint-Ismier, Bois Français",45.2248,5.83767,,,BOISFRAN,1
0021,0021,"Meylan, La Revirée",45.20712,5.76741,,,REVIREE,1
0024,0024,"Grenoble, Victor Hugo",45.19056,5.72512,,,VICTHUGO,1
0026,0026,"Meylan, Les Léchères",45.20454,5.75928,,,LECHERES,1
0027,0027,"Meylan, Les Léchères",45.20521,5.75858,,,LECHERES,1
0028,0028,"Meylan, Plaine Fleurie",45.20268,5.7609,,,PLAINEFL,1
0029,0029,"Meylan, Les Jaillières",45.22064,5.78917,,,JAILLIER,1
0030,0030,"Meylan, Saint-Mury",45.21947,5.78613,,,STMURY,2
0031,0031,"Meylan, Bérivière",45.21882,5.78312,,,BERIVIER,2
0032,0032,"Meylan, Les Mûriers",45.21605,5.77947,,,MURIERS,1
0033,0033,"Meylan, Chaumetière",45.2124,5.76983,,,CHAUMETI,1
0034,0034,"Meylan, Saint-Jean Bosco",45.21282,5.77305,,,STJBOSCO,1
0035,0035,"Meylan, Lycée du Grésivaudan - Bachais",45.21416,5.7791,,,LYCBACHA,1
0036,0036,"Meylan, Montlivet",45.22996,5.78973,,,MONTLIVE,2
0037,0037,"Domène, Domène Mairie",45.20152,5.83821,,,DOMENEMA,1
0038,0038,"Domène, Les Mortes",45.19636,5.82887,,,MORTES,1
0039,0039,"Murianette, Le Bourg",45.19186,5.81663,,,BOURG,1
0040,0040,"Gières, La Perrière",45.18902,5.81006,,,PERRIERE,1
0041,0041,"Murianette, La Perrière",45.18971,5.81173,,,PERRIERE,1
0042,0042,"Gières, Le Japin",45.18746,5.80706,,,LEJAPIN,1
0043,0043,"Gières, Champrondet",45.18578,5.80285,,,CHAMPRON,1
0044,0044,"Gières, Pied de Gières",45.18388,5.79852,,,PIEDGIER,1
0045,0045,"Gières, Pied de Gières",45.18381,5.79849,,,PIEDGIER,1
0047,0047,"Meylan, Montlivet",45.22998,5.78981,,,MONTLIVE,2
0049,0049,"Grenoble, Place Cymaise",45.195,5.72917,,,PLACECYM,1
0051,0051,"Claix, Les Roses",45.11774,5.66797,,,ROSES,1
0052,0052,"Claix, Les Roses",45.11791,5.66739,,,ROSES,1
0053,0053,"Venon, Le Chapon",45.17101,5.82184,,,LECHAPON,1
0054,0054,"Venon, Le Chapon",45.17096,5.82185,,,LECHAPON,2
0055,0055,"Venon, Le Reynet",45.17009,5.81367,,,LEREYNET,2
0056,0056,"Venon, Le Reynet",45.17001,5.81366,,,LEREYNET,2
0057,0057,"Grenoble, Musée Dauphinois",45.19497,5.72614,,,MUSEEDAU,2
0059,0059,"Échirolles, Danielle Casanova",45.14448,5.70071,,,CASANOVA,1
0060,0060,"Grenoble, Musée Dauphinois",45.19503,5.72611,,,MUSEEDAU,2
0063,0063,"Venon, Le Perroud",45.17259,5.81043,,,LEPERROU,2
0064,0064,"Venon, Le Perroud",45.17254,5.81043,,,LEPERROU,2
0065,0065,"Poisat, Centre Socio-Culturel",45.15827,5.75976,,,CENSOCIO,1
0067,0067,"Venon, Sous-Perroud",45.17027,5.81083,,,SOUSPERO,2
0068,0068,"Venon, Sous-Perroud",45.1703,5.81077,,,SOUSPERO,2
0070,0070,"Saint-Martin-le-Vinoux, L'Hermitage",45.21476,5.70442,,,LHERMITA,2
0071,0071,"Échirolles, Le Château",45.14704,5.72608,,,CHATEAU,2
0072,0072,"Échirolles, Le Château",45.14711,5.72619,,,CHATEAU,2
0073,0073,"Venon, La Chênaie",45.17058,5.80748,,,LACHENAI,2
0074,0074,"Venon, La Chênaie",45.17051,5.80746,,,LACHENAI,2
0075,0075,"Saint-Martin-le-Vinoux, Levetière",45.22609,5.72541,,,LEVETIER,2
0076,0076,"Grenoble, Edmond Esmonin",45.15907,5.72674,,,EDMOESMO,1
0079,0079,"Échirolles, Stade",45.1435,5.72943,,,STADE,2
0080,0080,"Saint-Martin-le-Vinoux, Levetière",45.22614,5.72551,,,LEVETIER,2
0083,0083,"Saint-Martin-le-Vinoux, Lachal",45.22225,5.72467,,,LACHAL,2
0088,0088,"Saint-Martin-le-Vinoux, Lachal",45.22258,5.72475,,,LACHAL,2
0089,0089,"Saint-Martin-le-Vinoux, Mas Caché",45.2177,5.72187,,,LEMASGAC,2
0090,0090,"Veurey-Voroize, La Cuche",45.25604,5.62804,,,LACUCHE,2
0092,0092,"Saint-Martin-le-Vinoux, Mas Caché",45.21735,5.72194,,,LEMASGAC,2
0093,0093,"Venon, Venon Mairie",45.17181,5.80468,,,VENONMAI,2
0094,0094,"Venon, Venon Mairie",45.17165,5.80482,,,VENONMAI,2
0095,0095,"Venon, La Ville",45.17377,5.80279,,,LAVILLE,2
0096,0096,"Venon, La Ville",45.17409,5.80262,,,LAVILLE,2
0097,0097,"Saint-Martin-le-Vinoux, La Gomma",45.21513,5.71914,,,LAGOMMA,2
0100,0100,"Saint-Martin-le-Vinoux, La Gomma",45.21528,5.71941,,,LAGOMMA,2
0101,0101,"Eybens, La Châtelière",45.16219,5.74912,,,CHATELIE,1
0102,0102,"Eybens, La Châtelière",45.16217,5.74903,,,CHATELIE,1
0103,0103,"Eybens, Les Javaux",45.15112,5.74959,,,JAVAUX,1
0104,0104,"Eybens, Odyssée",45.15336,5.74848,,,ODYSSEE,1
0105,0105,"Eybens, Val d'Eybens",45.15927,5.74557,,,VALEYBEN,1
0106,0106,"Saint-Martin-le-Vinoux, Hôtel Bellevue",45.21153,5.71775,,,HOTELBEL,2
0107,0107,"Domène, L'Oratoire",45.19819,5.83412,,,ORATOIRE,1
0110,0110,"Poisat, Cimetière Intercommunal",45.15752,5.76412,,,PREMOL,1
0115,0115,"Meylan, Haut-Meylan",45.2183,5.77919,,,HTMEYLAN,2
0116,0116,"Saint-Martin-le-Vinoux, Hôtel Bellevue",45.21178,5.71773,,,HOTELBEL,2
0117,0117,"Venon, La Serralière",45.17305,5.79821,,,LASERRAL,2
0118,0118,"Venon, La Serralière",45.17283,5.79806,,,LASERRAL,2
0119,0119,"Venon, La Faurie",45.17526,5.79498,,,LAFAURIE,2
0120,0120,"Venon, La Faurie",45.17542,5.79467,,,LAFAURIE,2
0125,0125,"Saint-Martin-le-Vinoux, Les Combes",45.20963,5.718,,,LESCOMBE,2
0128,0128,"Saint-Martin-le-Vinoux, Les Combes",45.20972,5.71803,,,LESCOMBE,2
0131,0131,"Gières, Edelweiss",45.18108,5.78844,,,EDELWEIS,1
0132,0132,"Gières, Edelweiss",45.18116,5.78826,,,EDELWEIS,1
0133,0133,"Saint-Martin-le-Vinoux, Les Fauvettes",45.20521,5.71826,,,LESFAUVE,2
0134,0134,"Fontaine, Gérard Philipe",45.19647,5.67717,,,GERARPHI,2
0135,0135,"Saint-Martin-le-Vinoux, Les Fauvettes",45.20658,5.7175,,,LESFAUVE,2
0137,0137,"Fontaine, Jules Guesde",45.1979,5.68869,,,JULESGUE,2
0139,0139,"Fontaine, Rue Pasteur",45.19421,5.69473,,,RUEPASTE,1
0141,0141,"Saint-Martin-le-Vinoux, Place du Village",45.20365,5.71693,,,SMVINOUX,1
0142,0142,"Saint-Martin-le-Vinoux, Place du Village",45.20364,5.7167,,,SMVINOUX,1
0149,0149,"Saint-Martin-le-Vinoux, Ripaillère",45.22685,5.72071,,,RIPAILLE,2
0150,0150,"Fontaine, Charmettes",45.1974,5.69355,,,CHARMETT,1
0151,0151,"Fontaine, Charmettes",45.19786,5.69305,,,CHARMETT,1
0152,0152,"Fontaine, Curie - Vercors",45.19181,5.69499,,,CURIVERC,1
0154,0154,"Fontanil-Cornillon, Rafour",45.24948,5.66712,,,RAFOUR,1
0156,0156,"Saint-Martin-le-Vinoux, Ripaillère",45.22682,5.72078,,,RIPAILLE,2
0157,0157,"Noyarey, Le Ruisset",45.24964,5.63166,,,RUISSET,1
0158,0158,"Saint-Martin-le-Vinoux, Gatinet",45.22494,5.71908,,,LEGATINE,2
0159,0159,"Noyarey, Bascule",45.24291,5.63206,,,NOYARBAS,1
0160,0160,"Noyarey, Chaulnes",45.23642,5.63803,,,CHAULNES,1
0161,0161,"Noyarey, Praparis - Les Roses",45.23201,5.64523,,,PRAPAROS,1
0162,0162,"Saint-Martin-le-Vinoux, Gatinet",45.2249,5.71914,,,LEGATINE,2
0168,0168,"Saint-Martin-le-Vinoux, Conrad Kilian",45.20651,5.70884,,,CONRADKI,1
0169,0169,"Saint-Martin-le-Vinoux, Conrad Kilian",45.20649,5.70878,,,CONRADKI,1
0174,0174,"Saint-Égrève, Eglise",45.23999,5.68407,,,EGLISESE,1
0176,0176,"Saint-Égrève, La Monta",45.23787,5.68891,,,LAMONTA,1
0177,0177,"Saint-Martin-le-Vinoux, La Rivoire",45.22001,5.71508,,,LARIVOIR,2
0180,0180,"Sassenage, Praparis Usine",45.22925,5.6497,,,PRAPARIS,1
0181,0181,"Sassenage, La Rollandière",45.21502,5.66112,,,ROLLANDI,1
0184,0184,"Saint-Martin-le-Vinoux, La Rivoire",45.21994,5.71515,,,LARIVOIR,2
0188,0188,"Seyssinet-Pariset, La Plaine",45.17259,5.69689,,,LAPLAINE,1
0190,0190,"Seyssinet-Pariset, Beau Site",45.17525,5.69689,,,BEAUSITE,1
0191,0191,"Seyssinet-Pariset, L'Arche",45.17816,5.69702,,,CENTRSOC,1
0198,0198,"Saint-Martin-le-Vinoux, Narbonne",45.21401,5.70998,,,NARBONNE,2
0203,0203,"Saint-Martin-le-Vinoux, Narbonne",45.21405,5.70999,,,NARBONNE,2
0206,0206,"Veurey-Voroize, Iles Cordées",45.25955,5.62603,,,ILESCORD,1
0207,0207,"Noyarey, Saint-Jean",45.2383,5.63509,,,NOYARSTJ,1
0209,0209,"Saint-Martin-le-Vinoux, L'Hermitage",45.2148,5.70448,,,LHERMITA,2
0215,0215,"Gières, Le Sonnant",45.18161,5.78271,,,SONNANT,1
0216,0216,"Meylan, Revirée - Sayettes",45.21205,5.76638,,,REVIREES,1
0217,0217,"Échirolles, Grugliasco",45.15182,5.71016,,,GRUGLIAS,1
0220,0220,"Veurey-Voroize, Perrières",45.26152,5.62492,,,PERIERES,1
0221,0221,"Veurey-Voroize, Les Echalières",45.26819,5.61932,,,ECHALIER,1
0226,0226,"Échirolles, Colonel Manhès",45.14659,5.70156,,,COLMANHE,1
0227,0227,"Échirolles, Marie Curie",45.14499,5.71729,,,MARIECUR,1
0228,0228,"Échirolles, Grugliasco",45.15157,5.70979,,,GRUGLIAS,1
0229,0229,"Échirolles, Paul Héroult",45.14728,5.71347,,,PHEROULT,1
0230,0230,"Échirolles, Marie Curie",45.1447,5.71643,,,MARIECUR,1
0231,0231,"Échirolles, Auguste Delaune",45.14246,5.71519,,,ADELAUNE,2
0232,0232,"Échirolles, Grugliasco",45.15122,5.70876,,,GRUGLIAS,1
0233,0233,"Échirolles, Ecoles Hospitalières",45.14627,5.72981,,,ECOLHOSP,1
0235,0235,"Échirolles, Le Château",45.14724,5.72672,,,CHATEAU,1
0237,0237,"Échirolles, La Rampe - Centre-Ville",45.14967,5.71884,,,RAMPE,1
0238,0238,"Échirolles, Grugliasco",45.15122,5.70907,,,GRUGLIAS,1
0239,0239,"Échirolles, Le Château",45.14732,5.72671,,,CHATEAU,1
0245,0245,"La Tronche, Grande Tronche",45.20702,5.74536,,,GDTRONCH,2
0246,0246,"Échirolles, Auguste Delaune",45.14219,5.71511,,,ADELAUNE,2
0248,0248,"Échirolles, La Rampe - Centre-Ville",45.14965,5.71924,,,RAMPE,1
0249,0249,"Échirolles, Ecoles Hospitalières",45.14638,5.72973,,,ECOLHOSP,1
0250,0250,"Échirolles, Hôpital Sud",45.1469,5.73274,,,HOPITSUD,1
0251,0251,"Échirolles, Hôpital Sud",45.14691,5.73235,,,HOPITSUD,1
0252,0252,"Échirolles, François Quesnay",45.14793,5.73494,,,FRQUESNA,1
0253,0253,"Échirolles, François Quesnay",45.1479,5.73517,,,FRQUESNA,1
0254,0254,"Échirolles, Bayard",45.14612,5.70442,,,BAYARD,1
0256,0256,"Échirolles, Danielle Casanova",45.14406,5.7005,,,CASANOVA,1
0257,0257,"Échirolles, Vassieux",45.14303,5.70002,,,VASSIEUX,1
0265,0265,"Claix, Carrière",45.1148,5.69029,,,CARRIERE,2
0266,0266,"Claix, Carrière",45.11471,5.69019,,,CARRIERE,1
0267,0267,"Claix, La Ronzy",45.121,5.67609,,,RONZY,1
0268,0268,"Claix, La Chièze",45.12118,5.68251,,,CHIEZE,1
0278,0278,"Meylan, Les Jaillières",45.22152,5.79088,,,JAILLIER,1
0280,0280,"Meylan, Bérivière",45.21871,5.78303,,,BERIVIER,2
0282,0282,"Meylan, Les Mûriers",45.21504,5.77969,,,MURIERS,1
0283,0283,"Meylan, Saint-Jean Bosco",45.2129,5.77365,,,STJBOSCO,1
0284,0284,"Meylan, Chaumetière",45.21249,5.77128,,,CHAUMETI,1
0285,0285,"Sassenage, Les Engenières",45.21987,5.66051,,,ENGENIER,2
0288,0288,"Meylan, Plaine Fleurie",45.20273,5.76086,,,PLAINEFL,1
0289,0289,"Meylan, La Carronnerie Basse",45.20119,5.75875,,,CARONBAS,2
0290,0290,"La Tronche, Pascal",45.1993,5.75549,,,PASCAL,2
0291,0291,"La Tronche, Pascal",45.1995,5.75528,,,PASCAL,1
0292,0292,"La Tronche, Doyen Gosse",45.20135,5.75297,,,DOYENGOS,1
0293,0293,"La Tronche, Vercors",45.20065,5.75111,,,VERCORS,1
0294,0294,"La Tronche, Grand Sablon",45.19902,5.74959,,,GRDSABLO,1
0295,0295,"Meylan, Place de la Louisiane",45.20869,5.76315,,,PLALOUIS,1
0296,0296,"Échirolles, Musée Géo Charles",45.14921,5.70116,,,MUSGEOCH,1
0297,0297,"Gières, Le Chamandier",45.18185,5.78092,,,LECHAMAN,1
0299,0299,"Meylan, Place de la Louisiane",45.20876,5.76321,,,PLALOUIS,1
0300,0300,"Échirolles, Le Village",45.14116,5.72025,,,VILLAGE,1
0304,0304,"Saint-Égrève, Cap 38",45.2404,5.66661,,,CAP38,1
0311,0311,"Eybens, Le Crêt",45.14392,5.74859,,,LECRET,2
0312,0312,"Eybens, Le Crêt",45.14377,5.74854,,,LECRET,2
0313,0313,"Bresson, Lagay",45.14093,5.74998,,,LAGAY,1
0314,0314,"Bresson, Lagay",45.1408,5.74997,,,LAGAY,1
0315,0315,"Bresson, Bresson Mairie",45.1377,5.74771,,,BRESSON,1
0316,0316,"Bresson, Les Vignes",45.13809,5.74574,,,VIGNES,1
0317,0317,"Bresson, La Maritelle",45.14162,5.74135,,,MARITELL,1
0318,0318,"Bresson, La Maritelle",45.14108,5.74131,,,MARITELL,1
0323,0323,"Échirolles, Stade",45.14344,5.72946,,,STADE,2
0327,0327,"Grenoble, Les Essarts",45.1593,5.71376,,,LESESSAR,1
0329,0329,"Grenoble, Beauvert",45.16415,5.71776,,,BEAUVERT,1
0330,0330,"Meylan, Aiguinards-Hexagone",45.20603,5.76421,,,AIGUIHEX,1
0331,0331,"Gières, Champrondet",45.18573,5.80291,,,CHAMPRON,1
0333,0333,"Gières, Edelweiss",45.18149,5.78755,,,EDELWEIS,1
0334,0334,"Gières, Edelweiss",45.18142,5.78771,,,EDELWEIS,1
0335,0335,"Gières, Roseraie",45.17897,5.78098,,,ROSERAIE,1
0336,0336,"Saint-Martin-d'Hères, Anguisses",45.17782,5.77786,,,ANGUISSE,1
0337,0337,"Saint-Martin-d'Hères, Anguisses",45.1778,5.77798,,,ANGUISSE,1
0338,0338,"Saint-Martin-d'Hères, Galochère",45.1787,5.77323,,,GALOCHER,1
0339,0339,"Saint-Martin-d'Hères, Elsa Triolet",45.17952,5.77009,,,ELSATRIO,1
0340,0340,"Saint-Martin-d'Hères, Coli",45.18071,5.7657,,,COLI,1
0341,0341,"Saint-Martin-d'Hères, Cité Labeye",45.18253,5.75906,,,CITELABE,1
0342,0342,"Saint-Martin-d'Hères, Gay",45.1848,5.75086,,,GAY,1
0343,0343,"Saint-Martin-d'Hères, Gay",45.18448,5.75186,,,GAY,1
0344,0344,"Saint-Martin-d'Hères, Croix Rouge",45.18555,5.74786,,,CROIXROU,1
0347,0347,"Saint-Martin-d'Hères, Henri Wallon",45.17563,5.76391,,,HENRIWAL,1
0348,0348,"Saint-Martin-d'Hères, Pablo Neruda",45.17395,5.76074,,,PABLONER,1
0349,0349,"Saint-Martin-d'Hères, Pablo Neruda",45.17396,5.76091,,,PABLONER,1
0350,0350,"Saint-Martin-d'Hères, 8 mai 1945",45.17105,5.75682,,,8MAI1945,1
0352,0352,"Saint-Martin-d'Hères, Chopin",45.16605,5.75142,,,CHOPIN,1
0353,0353,"Saint-Martin-d'Hères, Chopin",45.16628,5.75184,,,CHOPIN,1
0354,0354,"Saint-Martin-d'Hères, Le Marais",45.16362,5.75062,,,LEMARAIS,1
0360,0360,"Échirolles, Gay Lussac",45.13565,5.71258,,,GAYLUSSA,1
0361,0361,"Grenoble, Malherbe",45.16897,5.73296,,,MALHERBE,1
0367,0367,"Grenoble, Maison des Anciens",45.15941,5.72348,,,MAISANCI,1
0368,0368,"Meylan, Aiguinards-Hexagone",45.20635,5.76409,,,AIGUIHEX,1
0371,0371,"Seyssinet-Pariset, Les Combes",45.1682,5.67886,,,LECOMB,1
0372,0372,"Grenoble, Louis Jouvet",45.16999,5.73712,,,LOUISJOU,1
0373,0373,"Grenoble, Saint-Augustin",45.17827,5.74591,,,STAUGUST,1
0374,0374,"Saint-Martin-d'Hères, Edouard Vaillant",45.17901,5.75507,,,EDVAILLA,1
0375,0375,"Saint-Martin-d'Hères, Pierre Sémard",45.18132,5.75719,,,PIERSEMA,1
0376,0376,"Saint-Martin-d'Hères, Pierre Sémard",45.18128,5.75712,,,PIERSEMA,1
0385,0385,"Gières, Vignate",45.18928,5.77815,,,VIGNATE,1
0386,0386,"Gières, Vignate",45.18923,5.77806,,,VIGNATE,1
0393,0393,"Meylan, Meylan Mairie",45.20928,5.7785,,,MEYLMAIR,1
0394,0394,"Meylan, Piscine des Buclos",45.20888,5.77538,,,PISBUCLO,1
0396,0396,"Meylan, La Revirée",45.20736,5.76801,,,REVIREE,1
0401,0401,"Meylan, Centre Théologique",45.20628,5.75312,,,CENTHEOL,1
0402,0402,"La Tronche, Musée Hébert",45.20561,5.7489,,,MUSHEBER,1
0403,0403,"La Tronche, Commandant Nal",45.20331,5.74561,,,COMMANAL,1
0405,0405,"Varces-Allières-et-Risset, Collège Jules Verne",45.09546,5.67215,,,CITESCOL,2
0416,0416,"Eybens, Odyssée",45.15357,5.7483,,,ODYSSEE,1
0417,0417,"Eybens, Les Javaux",45.15041,5.74986,,,JAVAUX,1
0418,0418,"Meylan, Haut-Meylan",45.21786,5.7779,,,HTMEYLAN,1
0419,0419,"Meylan, Haut-Meylan",45.21794,5.77833,,,HTMEYLAN,1
0420,0420,"Meylan, La Foy",45.21681,5.77572,,,LAFOY,1
0421,0421,"Meylan, La Foy",45.2171,5.77634,,,LAFOY,1
0422,0422,"Corenc, Buclos",45.21581,5.77226,,,BUCLOS,1
0423,0423,"Corenc, Buclos",45.2157,5.77164,,,BUCLOS,1
0424,0424,"Corenc, Les Oiseaux",45.21506,5.76867,,,OISEAUX,1
0425,0425,"Corenc, Les Oiseaux",45.21505,5.76853,,,OISEAUX,1
0426,0426,"Corenc, Eygala",45.21385,5.7646,,,EYGALA,1
0427,0427,"Corenc, Eygala",45.21377,5.76431,,,EYGALA,1
0429,0429,"Corenc, Corenc Mairie",45.21019,5.75279,,,CORENCMA,1
0430,0430,"Corenc, Montfleury",45.21219,5.75757,,,MONTFLEU,1
0432,0432,"Corenc, Corenc Mairie",45.21013,5.75255,,,CORENCMA,1
0435,0435,"La Tronche, Grande Tronche",45.20704,5.74578,,,GDTRONCH,2
0437,0437,"La Tronche, Jules Rey",45.20658,5.74278,,,JULESREY,1
0438,0438,"La Tronche, Jules Rey",45.20649,5.74237,,,JULESREY,1
0441,0441,"La Tronche, Bastille",45.20461,5.73787,,,BASTILLE,1
0443,0443,"La Tronche, Petite Tronche",45.20212,5.73442,,,PTTRONCH,1
0444,0444,"La Tronche, Petite Tronche",45.20195,5.73416,,,PTTRONCH,1
0447,0447,"Grenoble, Saint-Laurent",45.19798,5.73263,,,STLAUREN,2
0448,0448,"Grenoble, Saint-Laurent",45.19802,5.73257,,,STLAUREN,1
0451,0451,"Grenoble, Condorcet",45.18576,5.71934,,,CONDORCE,1
0452,0452,"Grenoble, Condorcet",45.18577,5.71892,,,CONDORCE,1
0454,0454,"Grenoble, D'Alembert",45.18422,5.71064,,,ALEMBERT,1
0455,0455,"Grenoble, Vallier - Docteur Calmette",45.1805,5.71127,,,DRCALME,1
0463,0463,"Fontanil-Cornillon, Rafour",45.24899,5.66692,,,RAFOUR,1
0471,0471,"Meylan, Haut-Meylan",45.21845,5.77908,,,HTMEYLAN,2
0472,0472,"Saint-Égrève, Karben",45.24219,5.67143,,,KARBEN,1
0473,0473,"Saint-Égrève, Karben",45.24207,5.67119,,,KARBEN,1
0474,0474,"Saint-Égrève, La Monta",45.238,5.68861,,,LAMONTA,1
0475,0475,"Saint-Égrève, Les Bonnais",45.24004,5.67297,,,BONNAIS,2
0476,0476,"Saint-Égrève, Cuvilleux",45.2349,5.68768,,,CUVILLEU,1
0478,0478,"Saint-Égrève, Visancourt",45.23317,5.68606,,,VISANCOU,1
0480,0480,"Saint-Égrève, Moutonnées",45.22868,5.68397,,,MOUTONNE,1
0481,0481,"Saint-Égrève, Muret",45.22612,5.6864,,,MURET,1
0487,0487,"Meylan, Champ Rochas",45.20711,5.75833,,,CHAMROC,2
0489,0489,"Grenoble, Madeleine",45.18491,5.74324,,,MADELEIN,1
0490,0490,"Grenoble, Jeanne d'Arc",45.18191,5.74579,,,JEANNARC,1
0491,0491,"Grenoble, Grand Châtelet",45.18183,5.74852,,,GDCHATEL,1
0492,0492,"Meylan, Champ Rochas",45.20744,5.75903,,,CHAMROC,2
0493,0493,"Saint-Martin-d'Hères, Edmond Rostand",45.17446,5.75432,,,EDROSTAN,1
0494,0494,"Saint-Martin-d'Hères, Etienne Grappe",45.17206,5.75713,,,ETIEGRAP,1
0495,0495,"Saint-Martin-d'Hères, Potié",45.17088,5.75859,,,POTIE,1
0496,0496,"Saint-Martin-d'Hères, Croix du Pâtre",45.16828,5.7627,,,CXPATRE,1
0500,0500,"Saint-Martin-d'Hères, Glaïeuls",45.16964,5.76358,,,GLAIEULS,1
0501,0501,"Saint-Martin-d'Hères, Saint-Martin-d'Hères Village",45.16512,5.76552,,,SMHVILLA,1
0502,0502,"Saint-Martin-d'Hères, Saint-Martin-d'Hères Village",45.16492,5.76527,,,SMHVILLA,1
0503,0503,"Saint-Martin-d'Hères, Les Alloves",45.1719,5.76493,,,ALLOVES,1
0511,0511,"Grenoble, Clos d'Or",45.16955,5.72322,,,CLOSDOR,1
0512,0512,"Grenoble, Arago",45.19625,5.71247,,,ARAGO,1
0514,0514,"Grenoble, Edison",45.18183,5.74091,,,EDISON,1
0515,0515,"Grenoble, Suzanne Noël - Les Bains",45.17821,5.74263,,,LESBAINS,1
0516,0516,"Saint-Martin-d'Hères, Pierre Loti",45.16664,5.74646,,,PIERRELO,1
0517,0517,"Saint-Martin-d'Hères, Paul Eluard",45.16512,5.74887,,,PAULELUA,1
0518,0518,"Eybens, Bel Air",45.16106,5.75525,,,BELAIR,1
0519,0519,"Poisat, Robespierre",45.15985,5.75718,,,ROBESPIE,1
0520,0520,"Poisat, Centre Socio-Culturel",45.15821,5.75974,,,CENSOCIO,1
0521,0521,"Domène, Chenevières",45.20673,5.82734,,,CHENEVIE,1
0522,0522,"Domène, Le Prieuré",45.20489,5.83576,,,PRIEURE,1
0523,0523,"Domène, Le Prieuré",45.20457,5.8361,,,PRIEURE,1
0525,0525,"Domène, Les Arnauds",45.20683,5.84788,,,ARNAUDS,1
0526,0526,"Domène, L'Oratoire",45.19802,5.83362,,,ORATOIRE,1
0527,0527,"Domène, Les Mortes",45.19638,5.82911,,,MORTES,1
0528,0528,"Murianette, Les Rivets",45.19483,5.82455,,,RIVETS,1
0529,0529,"Murianette, Les Rivets",45.19488,5.82488,,,RIVETS,1
0530,0530,"Murianette, Le Bourg",45.19187,5.81646,,,BOURG,1
0531,0531,"Seyssins, Garlettes",45.14524,5.67678,,,GARLETTE,2
0533,0533,"Gières, Le Sonnant",45.18142,5.78156,,,SONNANT,1
0534,0534,"Seyssins, Garlettes",45.14531,5.67687,,,CIMETIGA,2
0535,0535,"Saint-Martin-d'Hères, Champ Roman",45.18473,5.76846,,,CHAMPROM,1
0536,0536,"Saint-Martin-d'Hères, Neyrpic - Belledonne",45.18672,5.75629,,,NEYRBELL,1
0537,0537,"Saint-Martin-d'Hères, Péri - Brossolette",45.18757,5.75258,,,PERIBROS,1
0544,0544,"Seyssins, L'Argoud",45.15386,5.67997,,,ARGOUD,1
0545,0545,"Seyssins, L'Argoud",45.15433,5.6803,,,ARGOUD,1
0560,0560,"Corenc, Batonnière",45.22728,5.75888,,,CHEMBATO,2
0563,0563,"Corenc, Batonnière",45.22733,5.75876,,,CHEMBATO,2
0575,0575,"Fontaine, Curie - Vercors",45.19188,5.69505,,,CURIVERC,1
0586,0586,"Veurey-Voroize, Chemin du Parc",45.27467,5.60645,,,CHATEAUX,1
0587,0587,"Veurey-Voroize, Chemin du Parc",45.27449,5.60613,,,CHATEAUX,1
0588,0588,"Veurey-Voroize, Petit Châtelard",45.27657,5.61239,,,PTCHATEL,2
0589,0589,"Veurey-Voroize, Petit Châtelard",45.27608,5.61213,,,PTCHATEL,2
0590,0590,"Veurey-Voroize, Le Béryl",45.27487,5.61264,,,BERYL,2
0591,0591,"Veurey-Voroize, Le Béryl",45.2748,5.61283,,,BERYL,2
0593,0593,"Veurey-Voroize, Veurey Mairie",45.27305,5.61273,,,VEUREYMA,2
0594,0594,"Veurey-Voroize, Veurey Eglise",45.27225,5.61564,,,VEUREYEG,1
0595,0595,"Veurey-Voroize, Veurey Eglise",45.27242,5.61525,,,VEUREYEG,1
0596,0596,"Veurey-Voroize, Perrières",45.26209,5.6247,,,PERIERES,1
0598,0598,"Veurey-Voroize, Iles Cordées",45.25971,5.62608,,,ILESCORD,1
0599,0599,"Veurey-Voroize, La Cuche",45.25606,5.62814,,,LACUCHE,2
0601,0601,"Noyarey, Le Ruisset",45.24971,5.63181,,,RUISSET,1
0602,0602,"Noyarey, Bascule",45.24292,5.63217,,,NOYARBAS,1
0603,0603,"Noyarey, Saint-Jean",45.23891,5.63425,,,NOYARSTJ,1
0604,0604,"Noyarey, Chaulnes",45.23654,5.63811,,,CHAULNES,1
0605,0605,"Noyarey, Praparis - Les Roses",45.23226,5.64503,,,PRAPAROS,1
0606,0606,"Sassenage, Praparis Usine",45.22961,5.64924,,,PRAPARIS,1
